ID,Tourist Attraction,Latitude,Longitude,Description,URL
1,Sagrada Familia,41.403706,2.173504,"The Basílica i Temple Expiatori de la Sagrada Família, designed by Antoni Gaudí, is an iconic symbol of Barcelona's architectural prowess and a UNESCO World Heritage Site",https://www.thenewbarcelonapost.com/wp-content/uploads/2022/09/Sagrada-Familia-setembre-2022-Temple_Estat-actual.jpg
2,Park Güell,41.414496,2.152694,"This public park system composed of gardens and architectonic elements is another masterpiece by Gaudí, offering panoramic views of the city",https://www.theconica.com/assets/cache/uploads/entorno/570x373/park-guell-barcelona.jpg
3,Casa Batlló,41.391638,2.16477,"A renowned building designed by Gaudí, known for its unique and imaginative architectural style, making it a must-see for visitors",https://upload.wikimedia.org/wikipedia/commons/b/bf/Casa_Batllo_Overview_Barcelona_Spain_cut.jpg
4,La Rambla,41.380896,2.173065,"A vibrant tree-lined street in the heart of the city, known for its lively atmosphere, street performers, and diverse array of shops and restaurants",https://www.camibarcelona.com/assets/cache/uploads/cami-b-and-b/entorn/570x373/ramblas-barcelona-hotel-cami-bed-breakfast.webp?from=jpg
5,Barcelona Cathedral,41.383976,2.176462,"Also known as the Cathedral of the Holy Cross and Saint Eulalia, this Gothic cathedral is a stunning architectural gem in the Gothic Quarter","https://media.cntraveler.com/photos/5a985924d41cc84048ce6db0/16:9/w_2560,c_limit/Catedral-de-Barcelona-GettyImages-511874340.jpg"
6,Barcelona Beaches,41.3642,2.2036,"Barcelona boasts several beautiful beaches, including Barceloneta Beach, offering a perfect blend of sun, sea, and sand for locals and tourists alike",https://www.bizflats.com/blog/wp-content/uploads/2021/06/Barcelona-beaches-complete-guide-.jpeg
7,Tibidabo Mountain,41.42186,2.11802,"This mountain offers breathtaking views of the city and is home to the Tibidabo Amusement Park, making it a popular destination for families",https://irbarcelona.com/wp-content/uploads/2016/02/tibidabo-barcelona.jpg
8,Palau de la Música Catalana,41.387018,2.175376,"A stunning concert hall known for its intricate and colorful modernist design, hosting a variety of musical performances",https://www.palaumusica.cat/images/1160531/facebook.jpg
9,La Barceloneta,41.378518,2.189877,"A traditional neighborhood by the sea, known for its sandy beaches, seafood restaurants, and vibrant atmosphere","https://commons.wikimedia.org/wiki/File:Promenade_and_beach,_Platja_de_la_Barceloneta,_Barcelona,_2015.jpg"
10,Mercat de la Boqueria,41.3817,2.17407,"This famous public market offers a feast for the senses with its colorful array of fresh produce, seafood, and local delicacies",https://commons.wikimedia.org/wiki/File:Mercat_de_la_Boqueria_20171227.jpg
